Gender,Age,Debt,Married,BankCustomer,Industry,InvestmentScore,BankRecord,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,30.83,0.0,1,1,Industrials,3.65,1,White,1.25,1,1,1,0,ByBirth,202,0,1
0,58.67,4.46,1,1,Materials,1.94,1,Black,3.04,1,1,6,0,ByBirth,43,560,1
0,24.5,0.5,1,1,Materials,8.15,1,Black,1.5,1,0,0,0,ByBirth,280,824,1
1,27.83,1.54,1,1,Industrials,7.99,1,White,3.75,1,1,5,1,ByBirth,100,3,1
1,20.17,5.625,1,1,Industrials,2.37,1,White,1.71,1,0,0,0,ByOtherMeans,120,0,1
1,32.08,4.0,1,1,CommunicationServices,2.87,1,White,2.5,1,0,0,1,ByBirth,360,0,1
1,33.17,1.04,1,1,Transport,1.67,1,Black,6.5,1,0,0,1,ByBirth,164,31285,1
0,22.92,11.585,1,1,InformationTechnology,7.68,1,White,0.04,1,0,0,0,ByBirth,80,1349,1
1,54.42,0.5,0,0,Financials,5.28,0,Black,3.96,1,0,0,0,ByBirth,180,314,1
1,42.5,4.915,0,0,Industrials,5.43,0,White,3.165,1,0,0,1,ByBirth,52,1442,1
1,22.08,0.83,1,1,Energy,3.81,1,Black,2.165,0,0,0,1,ByBirth,128,0,1
1,29.92,1.835,1,1,Energy,9.06,1,Black,4.335,1,0,0,0,ByBirth,260,200,1
0,38.25,6.0,1,1,Financials,4.32,1,White,1.0,1,0,0,1,ByBirth,0,0,1
1,48.08,6.04,1,1,Financials,3.65,1,White,0.04,0,0,0,0,ByBirth,0,2690,1
0,45.83,10.5,1,1,Materials,4.34,1,White,5.0,1,1,7,1,ByBirth,0,0,1
1,36.67,4.415,0,0,Financials,4.61,0,White,0.25,1,1,10,1,ByBirth,320,0,1
1,28.25,0.875,1,1,CommunicationServices,9.53,1,White,0.96,1,1,3,1,ByBirth,396,0,1
0,23.25,5.875,1,1,Materials,2.75,1,White,3.17,1,1,10,0,ByBirth,120,245,1
1,21.83,0.25,1,1,Real Estate,0.53,1,Black,0.665,1,0,0,1,ByBirth,0,0,1
